,essays,scores
613," Dear Mrs. Ryan Thank you for your informing letter and your congratulations. I was very delighted to hear about my success in your competition and me winning the prize. I'm very looking forward to it as I've never been in the U.S.A. before. Unfortunately, the only month I can travel is July because I'm doing my final exams at university in June and then starting a job in August. Any two weeks during July will suit me perfectly. The best term would be from 17th July till 30th July. As for accommodation at Camp California, I prefer  tent. I'm used to sleep in  tent from my previous holidays and I always injoyed it. I'd just like to know if the tents at the camp are based on sharing and how many people is there in one tent. I really appreciate the choice of activities at the camp. It was hard to choose only two. I've chosen tennis and sailing. I've played tennis since I was eight years old and I'm very good at it. I'm also good at swimming and surfing but I'd like to try sailing. I was always attracted to it but never had an opportunity . Is it possible to start to learn it at Camp California? I'd also like to know how far is it to the nearest village and how much cash do I need for  two-weeks stay at the camp? Do I need to bring with me some special gear or equipment? I'm looking forward to hear from you again. Yours sincerely  [SEP]  Dear Kim In my last letter I promised to write  you about my experience working at  pop-concert. The job came unexpectedly as my friend, who was supposed to work there, broke her leg just two days before the event. So she asked me to fill her position. Even  I had planned something else to do I agreed because she's my very good friend. The concert was due to start at 7 o'clock but we had to be there two hours before the beginning. First I was supposed to help at the refreshment spot for the fans but some 15 minutes before beginning I was told to go to the backstage and help with the refreshment for the musicians, technicians and others who worked there. It was very hectic there as everyone was a bit nervous but I saw the main stars and even managed to talk to them. When they started to play I was told to change my post again. This time I was helping the medical workers who had full hands with fainted teenage girls. First, it seemed to me odd because I didn't understand why they faint, but as the concert went on, the heat in the air was increasing and so was the number of the fainted. It wasn't funny anymore and I didn't know what to do first. I was really shocked by the view of crying and shaking but absolutely happy girls sitting or lying on the floor. However, I manage to listen  the music and I must admit that I liked it. I actually injoyed it working there and I wouldn't hesitate to work there again. As I know you like this ",37.0
1126," Dear Mr Robertson, I am writing to tell you that the students of my class have seen an advertisment about The London Fashion And Leisure Show. First of all I would like to thank you for making such a good plan, for us, so we could have a good time. Then I would like to explain to you about The London Fashion and Leisure Show. Finally  how the programme could be changed. The London Fashion And Leisure Show is taking place in  Central Exhibition Hall in London and happens on Tuesday March 14. From ten o'clock in the morning till seven o'clock in the afternoon. The reason that I suggest that we go is that it is a great opportunity because we can see the latest fashions,  leisure and sports wear as well as make up and different hairstyles. In addition to these we will not have to pay anything since it is free for students. I suggest that we should transfer our visit to the Science Museum on Wednesday afternoon in our free time that we have. I look forward to hearing from you. Yours sincerely,  [SEP]  It was dangerous, but I had to do it. I did not have any choice since my brother was in trouble. I had to become a burgler again and steal jewelry from the jewelry shop near by. As I knew the teknics to break in a place without being noticed, I should not be afraid but tonight I had to steal the most precious diamond in the country which was very well secured. When I got close to the shop, I checked if anyone was around and luckily was not. Then I approached slowly the door, broke the lock and opened the door. However, my adventure was not over yet. There were laisers all over the place, with which I had to be careful with. Suddenly something went wrong, the alarm was making  noise. I ran towards the diamond grabed it got out quickly,  ran out of the back door. By surprise I saw a car waiting for me outside. I got into the car  gave the jewelry in exchange of my brother, took him and left the place. ",26.00
880," Dear Helen, I was very glad to receive this great notice. I am very excited about it. I entered in this competition because I have always wanted to do these kind of things. In your letter you asked me when I would rather travel, I will be able  only on July because I have to work and I can take some days off on this month. If it is no problem I would rather stay in a lab cabin because I do not like much sleeping on the floor, but if you can not put me there I will be fine anywhere. About the  I have to choose I would like to tell you something. I am very good at tennis and photography but I would prefer to practice new ones, if it is possible. I am keen on water and risk sports so I would choose climbing and surfing, I think it would be great if I learn them while I am there. Finally, I would like to ask you if there is any place where I can buy some souvenirs, so to take some money with me and I would be very grateful if you could send me a list of clothes. Thank you for everything. I am looking forward to travelling. Yours sincerely  [SEP]  Every woman in the world likes the word shopping. It is like if they lose their concience while they are shopping. You can do shopping alone, with friends or with your kids, but the best thing of it is that you feel that you have all the power while you are buying things. May be it is not for you, may be it is a present, but buying things at least for me it is the best. But all this power and all this excitement could turn into something that you could start to hate. When you go shopping and there are a lot of people in the same place, all trying to find the best prices and not carying about anybody, this could get crazy to anyone. The long queues, close places, hight prices, sales, all these things conbined could make shopping an enjoyable thing for people who like doing it. But my advise for people, who like it so much that  can not help doing it, is to try shopping in the afternoon, at this hour no-one do shopping and if there are some shops that are closed you can always go to a shopping mall. ",30.0
598," 13th June 2000 Helen Ryan Competition Organiser Dear Madam, I am writing in response to your letter, in which you told me I am the winner in your competition, and my intention is to try to give you all the information you may need according to your letter. I would like to travel in July because I had another trip to Spain in August, that is the perfect month for me, otherwise I would not travel to Spain. About accommodation, I would prefer  tents instead of  log cabins and the reason is I have never used tents and this could be a very exciting experience for me. The two activities which I find  better for me are swimming and sailing. I love the sea, that is why I became interested in those activities since I was ten, therefore I have a lot of experience in both. Could you give me some advice about the weather in California? Thank you very much for everything. I am looking forward to hearing from you. Yours faithfully, ION GAYARRE  [SEP]  13th June 2000 Dear Kim, Thank you for asking about my latest good experience, I  let you know what the important details were. As you know I helped at a pop concert last month, I did things as unusual in me as cleaning instruments, organise people, and also look after the clothes of the artists. In fact everything was very easy, the instruments were already clean, and with the clothes my job was only wait there and give them what they asked for. Organise people involved, just a couple of things, say to people how to do the same as me and when. The most exciting thing was to be able to speak to the singers, the whole environment, and of course to the listen to the Concert in the very first position. All that I can say now is that I would do it again, I will never forget that day. Looking forward to seeing you, Best Wishes ",25.0
861," Dear Sir/Madam, I was very pleased to receive your letter which informed me of my winning the first prize in your competition, namely two weeks at Camp California in the USA. To begin with, I would like to travel in July. This is the only possible time for me, as the school holiday starts on the 29th of June. And from August on I planed to do some part-time job in order to earn some pocket money. Referring to the possibilities of accommodation, I'd prefer log cabins to tents. Firstly, log cabins are more comportable than tents. Secondly, I do not like tents. Last not least, I always have backache after sleeping in a tent for a couple of days. As I had been asked to choose two activities I would like to  during my stay at the camp, I chose Golf and singing. I have never played Golf actually, but I would love to try something new. As for singing, I am very keen on singing as I get lessons in it. I just love singing. I would like to know whether there is some facilities for washing the Clothes. Especially in summer, clothes get dirty very easily. Lastly, does the prize include pocket money? If not, I will have to bring some with me. Is there a possibility of exchanging different currancies to US dollar? I ask you to enclose the answer in your reply. I look forward to hearing from you at your earliest convenience. Yours faithfully Mee-Yon Areum.  [SEP]  Shopping is not always enjoyable. When you think of shopping, it reminds you of going out (mostly) with friends, looking for new things like clothes, accesoires etc. and buying them. It sounds nice and shopping is great fun - or it should be. Nowadays shopping can be very stressful. It all starts with the search of an appropriate parking-space which can last annoyingly long, especially at weekends. Nevertheless, the nightmare starts when you enter the shopping mall or the passage, which is terribly crowded. You cannot make a step without ""touching"" the others. It gets enormously unbearable in hot summer days, when the temperature increases. In such a situation your friends or the people you are shopping with get lost very easily and looking for them can be very tiring. But the worst moment comes, if you cannot find the thing you were looking for, because it is no longer trendy or because it is sold out. Of course, shopping is not always so unpleasant, but sometimes it is simply better to stay at home. ",34.0
567," Dear Mrs Ryan, I am replying to your letter for the first prize of the competition, that I won and there are a number of thinks I would like to make clear. You asked me in your last letter when I would like to travel. I think the best time is the first two weeks of July, because I will be free then. I cannot travel earlier because I take an examination and I have to study for it. In addition, I would prefer to have a log cabin, because I am not used to sleeping in a tent, so it would be very difficult for me. at the beginning You state in your last letter that I will have the chance to do two activities. I would prefer basketball and swimming. When I was younger I attend I local basketball team and we became local champions, so I am good at basketball and have a lot of experience. I am also good at swimming. Last year I entered a swimming championship and won the silver medal. Finally, there is one think I would like to ask. Could you tell me what sort of clothes and how much money I should have with me? I look forward to hearing from you. Yours sincerely,  [SEP]  Dear Kim, Many thanks for your last letter. It was great to hear from you again. As you know, I helped  at a pop concert last month. and I must say it was fantastic. Let's start from the beginning. First of all, I had to prepare the clothes of the pop stars. I had to iron them,  put them in order, so that the pop stars, who will sing at the concert,  look impressive. and handsome. The most exciting things happened later. I saw all the pop stars, talked with them and realized that they are very nice and always helpful. I had a lot of things to do during the concert. I had to look after the tone that nothing goes wrong. That was very responsible but fortunately I had help from other person. I must say that being in a concert is very nice. But helping in a concert is much nicer. At the end I realized that all your need is co-operation and  don't think selfishly. Hope to hear from you soon. Yours Pantelis ",33.0
801," Dear Helen Ryan. Thank you for your letter. I am so happy to win the prize and come true my dream. I would like to travel to California this July, because I can take an holiday from 14th to 27th of July. I would prefer log cabins. I have never used it and I think it would be more exciting than tents. I have heard that the Camp California is famous for surfing, so I hope that I will enjoy surfing for the first time. Besides, I will take the chance to play golf. It is my only favorite hobby. What about clothes and money? I don't know what the weather is like, and you are paid for travel costs, but I am wondering that it is included two activities. Also, I have a dog. Can I go with him. Please, let me know  this questions as soon as possible. I appreciate your competition and I look forward to hearing your answer Yours sincerely,  [SEP]  Dear Kim I am sorry. This letter is late, because last week I took exams, so I was very busy. To reply  your answer, it was realy an nice experience. As you know, I like a pop music so much and  singer was one of my favorite singers. Also, in the future I'll want to be an organizer like  this concert, so it'll be useful the experience to me. I am writing  how I got the position and what I did. Firstly, I applied to a concert agency to help, because I had the experience before and I knew how to organize and what to do. In the pop concert, there were many people, so before starting the pop concert, I arranged the seats and carried some musical instruments. It was somewhat hard to me. After the concert, I cleaned all the ground with other helpers and we moved the seats again. If you have some questions, let me know. I am looking forward to hearing from you With best wishes, ",28.0
297," Dear Sir Owing to the bad organisation of the last play that was played in your theatre those last weeks I want to explain you  some incorrect information that I found in your advertisement and as a result of it, all the problems that I had . First of all, I think if you go to a play and you are watching to see your favourite actor playing a good play and then  appears a silly one, who doesn't know what to do, it is disappoint at all. Secondly, all the spectators were waiting  the begining of the play at 19.30 and it started at 20.15 then I would like to know why do you say one time in the advertisement  why do you do what you want. Another thing that I want to know is why you didn't do any discount if it was showed in the advertisement. Maybe, I could be a good way to get spectators but I'm going to comunicate that to my travel office. When the play was finished I was looking for your theatre restaurant but it was closed because like on the paper that was on the door was writen, it was too late. I think, that it wasn't my perfect evening out so I wait to be payed back. Yours faithfully  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets so she lost all her school friends. All started when she was fifteen, when  started a new course on the institute and met some girls that passed the time they would became her friends. Three years passed and like is normal between friends, she knew a lot of things about them like her friends knew a lot about her When it was time to do the final exam, she became ill and she couldn't do it so  teachers decided to allow her to pass the course because she had a lot of good marks but on the other hand the principal desagreeded with it and didn't give the permision to pass her. She had to repeat that course and all her friends passed and like is usuall  girls from the last course became popular. Pat, to win her new classemates' friendship tell all what she knew about her friends and owing to what Pat said, her friends broke they friendship with Pat because their popularity was damaged. Pat's classmates made the same and Pat finished alone. ",23.0
25," Dear Jane Clark, I am writing about the International Arts Festival which has just finished. I congratulated with you because it has been a great idea since the town needed a cultural event. I especially appreciate the weekend tickets which almost everybody could afford, also students like me. However, I think that some concert halls were too small for the musical performances. You probably did not expect such a big audience! Being very fond of films, I would have appreciate seeing more of them. For next year's edition, you could possibly add some foreign films, like the Chinese ones, which I most like. Finally, in order to make  a really international festival, I think you should invite artists from all over the world, not just from six countries like this year. I hope that you will appreciate my opinions and suggestions, which I have shared with my friends.  Yours sincerely,  [SEP]  Simply a good idea and that's enough Are you young and full of life but you don't have enough money to enjoy your spare time? Simply let your brain work and you could find out wonderful ideas to earn money enjoying yourself. Are you fed up of looking after the screaming baby of your mother's friend? You could move from children to pets and become a dog-sitter, spending your afternoons walking round the park and chatting with a friend. Are you keen on music and you love going to disco? With a short training  you'll be able to mix songs at parties. You won't dance but the earning is guarantee! Do you like do-it-yourself and your house is full of marvellous but unuseful things? You could sell them to a specialised shop and finally tidy up your room!  So, what are  waiting for? Work out your own idea and realise it: money won't be a problem for you anymore! ",34.00
854," Dear Helen Ryan, I have received your letter today and I would  to thank you for the first price. The best dates for me to travel, would be in July because actually I work in the communication firm and I must ask to my employer when I can take holidays. But I think it will be from the 7 July 2000 to the 21 July 2000. For the accommodation at camp, I prefer in the log cabins, because  few years go, I went camping with some friends and every night it rained and in the tent, it was impossible to sleep because the ground was so wet so for this fact, I choose the log cabins. For the two activites that I chose are at first swimming, I am in the Swimming Team and I must go two times per week to entretain me because I have  competition every weekend. My second choice, it is Basketball. I have played basketball at school and I was one of the best player after that, I decided to coach a team but I should stop because I have started  swimming competition. For these two weeks, what kind of clothes I must take? It is including the transport and travel, but for the food and extra hobbies I must take some money. Could you tell me approximatively  Your sincerely M. Bruni  [SEP]  Dear Kim, How are you? I'm fine. You know last month I helped at a pop concert as like security. It was a very good experience. The concert sarted at 6:00 pm  until 2:00 am, and I started to work at 12:00 pm to prepear the scene with the musicians. After that, at 2:00 pm, when people arrived, I was at the entrance to take the tickets and you know it was incredibale because some people slept all the night in front of the stadium to be in the front row. There were maybe 50,000 spectators for this show, it was amazing. When the concert started I had to look round if anybody threw bottles or something else on the scene. I also helped to serve people who would like drink, I was like a barman. I saw old people, child.... and for me it was very strange and it was very interessting, because I met a lot of people and the best thing was that I knew the pop group who sang, it was fantastic. If I had an other opportunity to do that I think that I will do. Write  me as soon as possible.  ",26.0
729," 13th June 2000 Dear Ms Helen Ryan Competition Organiser I have just recieved the letter, which lets me know that I have won the first prize. I am proud of winning it and would like to say how thankful I am. I am therefore writing to give you my further information. First of all, I am a student and would like to travel in July. Because I intend to take  examination in Septenber. So I can afford to go on holiday only in July. Secondly, I would prefer to stay at log cabins rather than tents. It will be my first time to experience to stay there and I am interested in trying new things which I have not tried. The next consideration is the activities. Actually, I used to play basketball for 6 years and am quite confident of it. And nowadays, I have been practicing tennis as  school activity. Therefore I would like to choose basketball and tennis. Finally, I am considering about what kind of clothes I should wear and how much I need. I would be most grateful if you could give me further advicable information. I look forward to hearing from you. Yours sincerely,  [SEP]  Dear Kim, Hello! I hope everything around you is alright. You might not believe  but actually I helped at a pop concert last month and I really enjoyed it so much. So I'm now writing to let you know how grateful it was. All  work I needed to do wasn't very interesting. which I must have set thousands  chairs correctly and after finishing I put them back nicely. The reason I enjoyed it very much is that I could meet the vocalist on setting chairs just before they started practicing. I was asked if I wanted to sit down in front of  stage. Naturally I agreed and I could enjoy their gig as  audience. It was absolutely fantastic. I had ever never sit down there. Additionally, you couldn't believe , but the vocalist said ""All the chairs you are sitting down  were set  from him,"" pointing at me!! Actually I was a bit ashamed but it will be my brilliant memory. Anyway it was so interesting  time that I didn't even feel tired after that. Finally, I suggest you should try as I did if you have any opportunity. You must like it. I'm looking forward to seeing you soon. Can you send me the letter back writing what happend to you recently. Bye! Love, ",27.0
1080," Dear Mr Robertson, First of all, I am writing to thank you for organising  school's trip to London. The programme seems to be really interesting, especially visiting the Science Museum. However, the students in my class have seen an advertisement for the London Fashion and Leisure Show, which is going to take place on  14th of March at  Central Exhibition Hall. Visitors will be able to see the latest fashions, leisure and sports wear and also get some help with make up or hairstyle. It would be  great opportunity to see this show, because we are all very interested in  fashion subject. What is more, admittion for students is free. Do you think that it would be possible to change the programme of our trip? In our opinion we could join the show on Tuesday, after visiting the Science Museum. It would not be a problem to go shopping on Wednesday in our free time. I look forward to hearing from you. Your sincerely,  [SEP]  Famous people, such as politicians and film stars, deserve to have a private life without journalists following them all the time. In these days, when we can see  picture of  famous person almost on every first page of the newspaper, it's a quite common topic . First of all, I think that famous people deserve to have  private life. Journalists should not follow them all the time, trying to make an interview or taking an 'interesting' picture. Secondly, I can really understand how annoying or depressing it can be. I think that deep inside famous persons are just ordinary people and like for all of us having a private life is important for  psychological condition. On the other hand, we could say that they decided to have such kind of life. Maybe they need to pay the price for being rich and popular? Maybe sometimes they need to sacrifice their privacy? In conclusion, I think that it is very hard to find an answer to this question. However, everyone needs to have some part of his life being a secret. ",33.00
948," Thank you very much for the prize. I turned crazy when I knew I was the winner of your competition. I am just looking forward to going to Camp California. I've never been in the States before and having the chance to do it so makes me real happy. So let's answer the question you told me to in order to make that two weeks there as  funnier as possible. You asked me when would I like to travel to California. Definitely, in July. That's my only month for holidays in the whole year. If possible, I'd like to spend my time there in a tent. I hope just the sleeping one. That's the best suitable accomodation for a camping . It just keeps you in touch with nature. That's what camping is about, isn't it? I've found the list of activities you sent me very interesting. If I have to choose two of them I'll take tennis first. I'm an expert on it and I'll have a good time beating everyone there. Can't say the same about golf. It will be my first experience with the putt. I just hope not to get injured. One thing you have not told me is weather I have to pay  all things by my own in California or not. Please, let me know. Waiting for your answer, José  [SEP]  Dear Kim, As I told you in my previous letter I finally had the opportunity to take part on the Sting concert here in Segovia. No, not as a singer. Not yet. My only role was to carry things from one place to another. Very heavy things, those which Sting uses to make his show even more spectacular. Have you seen the giant screen behind him in every concert? I was the one who put it there in Segovia. Well, some others helped me in the task, but that did not make it much easier. Any way, it was a great experience and I enjoy it very much. The part I enjoyed most was the one when they paid me. It wasn't much but that means nothing when you have the chance to take part in an event like that. They also gave me a ticket to wotch the concert live. Great show. Next time come with me. I think Ernestina is coming to the city very soon. See you then! José ",34.0
530," June 17th, 2000 Dear Sir, I am writing this letter to show whom disappointed am I with the musical show ""Over The Rainbow"". First of all I was expecting to see Danny Brook starring but I felt very disappointed when a different actor appeared. When I saw the advertisement of the show it was written that the show will started at a half past seven but  started at a quarter past eight. Then when I was buying my ticket I asked for  discount but they weren't available. When the show finished I was eniting to visit the theatre restaurant but it was closed. I was expecting a lovely and perfect evening out but it was the most disapointed experience I have ever passed. So because of this horrible evening I want to ask for my money back. yours faithfully,  [SEP]  Modern technology have been changing the human life since the first many was born. When I wake up I take a shower using eletricity then I prepare my breakfast in the oven then I go to school by bus, when I arrive at home I put my lunch in the microwave than I watch t.v. and do my homework using a pen, when I come back from jiu-jitsu I eat something that was cooked in the oven then I go to bed. About a millenium ago every thing was different the people didn't have electricity, they did their food on the fire and they didn't have pens. Comparing these too realities the reader can notice that modern technology changed very much our daily life. ",27.0
850," Satomi Fukao 12 Dover Street AS3 7GH, London 13, Jun, 2000 Mrs. Helen Ryan Competition Organiser Dear Madam I have received the letter which tells me that  have won first prize in your competition. I am going to write about  information which you want to know. First, I would like to travel in only July, because I have got a job and only July is the time I can have a vacation. Secondly, I would like to choose a tent for accommodation, because I have never spent time in a tent, that's why, I think it is a good oppotunity for me. I would like to choose swimming and photography for activities. I have a planty of experience and knowledge of both aspect of part. Lastly, I would like to ask you two questions. One of them is that what kind of clothes  suitable on this camp. Another one is that how much money I have to prepare. I will be greatfull if you could inform me. Your sincerely  [SEP]  Hi! How are you doing? I had a wonderful time last month. I helped  a pop concert as a charity. My jobs were collecting a ticket, saling goods and refreshment, guiding people to a right seat and cleaning up the concert hole after finish a concert. I wasn't allowed to help  a heavy work, even though I wanted to do, because I'm  woman. What I particularly liked about the experience was the concert had achived by our supports. It seemed that all people,  audience, the band and  stuffs were delightful. If I have  chance, I want to help  a concert again. I have never felt such as satisfaction. I really recomend you to help them, I think this is a good oppotunity and I want you understand my feeling well. I've got lots of things about the concert to talk to you . I want to know your openion. If you have time, drop me a line, please. Bye ",23.0
75,"  Dear Sir I'm writting to express my feeling and opinion about the International Arts Festival which held a few days ago. When I found the advertisement of  International Arts Festival, I was very excited. It is great to hold an annual international arts festival in the place. Then I spent two days at the festival. I enjoyed it very much. There were so many exciting things I saw, such as stars and artists from around the world. Jazz, rock and classical concerts, plays and dance show etc. The specified thing  is worth to remind here is the reasonably-priced ticket for all events, it is excellent because most tourist could offer what they like. Although how I enjoyed it, there were still something  needed to be improved. For example, there were some conert halls which was too small to hold so much people, the stars and artists were just from six countries, which is not enough for  audience. In the addition when you organize the next year's international arts festival, could you arrange more plays and films. Thanks for reading this letter, I'm looking forward to the next year's festival. Yours faithfully  [SEP]  Dear Magda It is lovely to get your letter so soon. You mentioned the rules at home and at school in the letter. This remind me of what I experienced during my teeenage . In my country the children go to the secondary school when they are at the first year of  teenage. Your know, this age is the trouble age, boys have too much energy and girls want to fall in love with someone. These always annoy the school teacher and  parents. In a result of these the teachers make very strict rules at school, such as students aren't allowed to speak  each other in the class. They had to finish homework in a limited time. They cannot oppose to the teacher, girls are not allowed to  make up and wear any accessories. At home, in my experience, my parents didn't allow me to go out in the evening and gave me much amsh homework to do, even in the holiday. They also forbidden me to make a boyfriend. I think it is not just what happened in my home many of my friend had the same experience. Now I'm a mother of two children. They are all in the school. Comparing to my experience, I want to give them  more open attitude about everything. I want to be a mother of them and a friend of them. But at school, although I hope the teacher don't give students so much homework,  don't forbidden the opposite voice of the students, there are nothing I can do because of our culture. It's quite sad. I'm looking forward to receiving your next letter soon. Best wishes ",21.00
102," 17.06.2000 Hello Sir, ""Um very unpleased that I have to write you this letter. I have to do this because things happened which I can't ignore and which disappointed me very much. On the 12th of June this year I went to London to visit a friend of mine. We had a great time together until we decided to visit the musical ""Over the Rainbow"" in the ""Circle Theater"". We went there at 19.00 o'clock to get some tickets, but when we arrived, a long line of people were standing there, waiting to get tickets. After we waited for half an hour to get two spare seat tickets, we had to wait 45 minutes until it started. One of the points because, I wanted to see the musical was my favourite actor Danny Brook, but he didn't play! So when the miserable musical came to his end, we were happy to leave the theater room, but we both wanted to have dinner in the theatre restaurant, because no restaurantes were opened anymore, because it started too late. So we went upstairs to find the restaurant, but we just  a big empty hall, with nothing in it, with a short sign on a door: ""Sorry, we are closed because of renovations""! We thought it would be a joke, but it wasn't. Because you are the manager, I think you are the only person who can change something. I would prefer getting my money back, instead of taking a lawyer. I will never visit your theatre again! Sincerely Hedwiga Heinkel  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. And we knew that from the day on, that  he knows anything about our secret we will live in danger  being caught. We, that were Tim, Gudrun, Paul and me Hedwiga had founded our own mafia, we were the kings in our small town, and we had a lot of people paying us money, so that we won't attack them. We had this idea first, when we watched a movie about the Italian mafia in an English lesson in school. It was love of first slight and we were fascinated by the thought,  building a kind of the same organisation in our town. Pat was my big brother, who had heaed of some people paying, ""safty-money"", but never know the reason, until he found a big amout of money in my room. His thoughts combined and ready to go to the police he went out of our house, where me and my homies were just hanging aroud. He saw me and tolled me into my face you are a thief and a burglar and I will go now to the police, I didn't know what to do ,but then I had an idea.... Yeah fokes, that was the point I got interupted by my parents in this beautiful dream, but when you will hear the end of my story than buy the ""Rossall-School-magazin"", net time again, and you will hear the end of this unbelievable story. ",26.0
586," Dear Helen Ryan, Thank you for the information, that I won the competition. I'll try to answer your questions. I would preffer travelling in July, I have only these time, because my summer holidays  during these days. To your answer  about living in tents or cabins, I would like to sleep in a tent. A cabin remember me too much to my home and is too confortable, that isn't what I want to have if I live in a wild area. My favourite sports are climbing and surfing, I'm very good at climbing but for surfing I need some practise. Yes, I have some questions on clothes, what should I take with me and how much money will I need? I hope, I was able to answer your questions and you will perhaps soon give me a reply on my ones. Yours, Vadim Titov  [SEP]  Dear Kim, You can't believe what I did last month. I was given the opportunity to build up the concert and of course I took my chance. First I arrived really early in the morning on the place, but the people were just working and I joined them. My duty was to montage the spot lights on the right places, but it wasn't just easy. You had always some problems because like not having enough wire or the lamps were broken by the transport. The experience that I made was, that I had never worked in a such perfect team. I was able to ask anybody, and he answered detailly, althoug he was full of work. After the hard work we took cool drinks, sat down on the ground and enjoyed the pop concert. And as the pop stars thanked us for our hard job we all were a little proud to be here. Love, Vadim ",27.0
240," Dear manager, I am writing to complain about the musical show which was held last week. I feel disappointed because it was different to  the advertisement. First of all, the performers should be Danny Brook and Tina Truelove. However, there were two unknown actors in the show. I feel most disappointed about this. The show was started at 20.15 but actually it should  started at 19.30. Moreover, I bought a £20 ticket without any discount even the advertisement mentioned  discount is available. And after the show, we went to visit the theatre restaurant. Unfortunately, it was closed because at that day was their day-off. But I am wondering why it said we could visit the restaurant if you know it would be closed. I am afraid it was not a best musical show because all the things above was not an accurate as what we had been told. On the whole, I feel disappointed about the event and I would  have my money back. I look forward to hearing your reply. Thank you. Your faithfully,  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. I say this because of the experience I've had from her. Actually, we were quite good friends before the event happened. Pat has been studying in the same class with me since this year. She is sitting next to me, we started to chat more and more, then we became good friends. One day, we were sitting in the dinning-hall like usually. Suddenly my heart was thumbing so quickly because I saw him? - A boy who is a new student. I know this is one right love, I'm absolutely besorrted of him. Then I told this to Pat and told her to keep it secret: I didn't want people gossip behind me then everyone would know I fancy him. But the thing which I've never expected is Pat betrayed me. She told everyone that I fancy him and everybody always make  joke on it, that makes me feel so embarrised: I was very angry at that time! Now, I don't talk to her anymore because I can't stand a person who I trusted betrayed me. I hope she would know that  was her fault and don't do it anymore. ",21.0
690," 13 June 2000 Dear Helen Ryan, According to your letter, I am writing to infrom you about the information you need to know for my trip two weeks at Camp California in the U.S.A. I am very excited and looking forward to the new experiance I am going to have. First of all I must tell you that I only have freetime in July   at any day, any week, because I am still having my lesson at college and it will be finished at the end of June and also in August I have a training course for my studies. I would prefer to stay in tents because I love  atmosephere of camping, but I wouldn't mind to stay in log cabins. For the two activities I can choose, I would like to have swimming and Basketball. I have always found these kind of activity make me fell strong and  enjoy doing it. I first started playing basketball and swimming when I was aged 9, and I have been doing it up till now. I also used to be in a basketball team in school for 3 years. One thing, I would like to know is how many clothes I have to take with me and what kind of cloth they are? I look forward to hearing from you. Yours sincerely, Vanida Montri  [SEP]  Report on daily life at school Introduction The aim of this report is describ and assess  lesson and activities should be filmed in a short video. It is base on information made availble by student from each class at school. Lessons Most student who were interviewed suggested to have a speaking part of the lesson  to be on film. It seemed to be the most interesting lesson, because student always make some mistake while they are practising with thier partner, in spite of having told from  teacher ten times. It felt to be a good memory to be remember and remind our sleves to speak in a correct way. This lesson will give us to be relaxed and have  laugh. We also would like to have a history on. Activities Going out to visit the history town every weekend seem to be the most enjoyable activity for student. Spending time together out of the class is the nice experiance. Having a sport after class it also fun. Conclusion Lesson and activities, which most student suggested are very interesting and it is not seem to be boring for the student. ",24.0
286," Dear Sir, I'm writting to you to make a complaint about your musical show: "" Over the Rainbow""... Last week, I, my husband and our two children went to your theatre spend a good time, but we were so disappointed. First of all, I think it's not professional to change the principal actor in the last minute, the play should be with Danny Brook, but it wasn't. In addition to this, the show started at 20:15 instead  19:30, more  45 minutes in late... Moreover, there weren't  discounts available like writting in your advertisement. There was well a restaurant, even though, it was closed for reparations, also 2 hours 30 without drinking or eating something, was quite difficult for the children. It should be a perfect evening out, but it was the opposite. It's why, it would be grateful, if you could give me my money back. I look forward to hearing from you in the very near future. Yours faithfully  [SEP]  How has modern technology changed your daily life? Nowadays, I think it could be impossible for us to live like our grand-parents or great grand-parents lived... we are too lazy, but it's not our mistake, this revolution is called ""progress""! Every day, like everybody, I watch the TV, see the International news, hear the radio, play games on my computer or get across with American or Asia people without going out to my house. It seem be incredible, but it's commun habits for us.. we don't think that there is less of a hundred years , nothing of that existed. I will always said thank you very much to the inventor who has invented the maschines wich make the washing and the washing-up, before this, the women spent a long time had done this tasks. In addition to this, thinking also, to the medicine, science or astronomy progress... And it's not ending, I hope that for my thirties I'll go to Mars on holidays... The scientists are again ten years to find the solution... ",29.0
528," Dear Sir or Madam, I am writing to express my annoyance at your musical show which happened to be inaccurate at the leaflet given. Your advertisement mentioned that the famous Danny Brook would play in this show but disappointingly it was another, unkown actor who starred instead of him. Another point which caused some inconveniences was the timetable of the show. It began 45 minutes later than it should have been. Notwithstanding the fact that I could have expected a discount for my ticket, it occuried to be impossible to have one. Although your leaflet suggested that your theatre restaurant would be open it was not the case because of a lack of available staff. All those innacuracies spoilt what should have been a memoriable evening so I would like to be refunded at least for the price of my ticket. I look forward to hearing from you. Yours faithfully, T. Gens  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. Of course, it was my fault. I should have known better but I had to tell it to someone. It was far too heavy to keep it for myself. So I made a mistake and I told her. The day after, at school, I noticed that everyone was looking at me. I immediately knew that something was wrong so I had a word with Pat. She denied having revealed my secret but she was averting my eyes. From this moment, I knew without the shadow of a doubt that my mother would know  it sooner or later. It was only a question of hours before my life would collapse. I tried to take it on my stride but I couldn't. I was terrified. My fear turned out to be right. I read the hurt in her eyes. She knew. She knew that I had bought my first bra without having asked her for advice before it. ",38.0
